Wall time,Step,Value
1511304241.5057454,0,12.415264129638672
1511304329.5220332,25,8.241188049316406
1511304448.6499407,64,7.444498062133789
1511304568.5742373,104,6.6591386795043945
1511304688.4304638,143,6.558589458465576
1511304808.9855633,183,6.024846076965332
1511304929.569524,217,6.257894039154053
1511305048.3712866,256,6.921266078948975
1511305168.9983876,296,6.325815200805664
1511305288.7065494,335,6.329052448272705
1511305408.458602,375,6.2340826988220215
1511305528.5263288,409,6.094427108764648
1511305648.9536357,449,6.491893291473389
1511305768.1158264,488,6.393792629241943
1511305888.448941,528,6.21318244934082
1511306009.3853092,568,5.963678359985352
1511306127.8435166,602,6.373981952667236
1511306247.6302218,642,5.846133232116699
1511306368.9825447,682,6.274740695953369
1511306488.5795658,721,5.960935115814209
1511306608.387671,761,6.080249309539795
1511306729.139928,795,5.7547926902771
1511306848.8642101,835,5.986195087432861
1511306968.5983164,874,5.805492401123047
1511307088.6340673,914,5.972171783447266
1511307209.4415755,954,6.020231246948242
1511307329.530942,988,6.639842987060547
1511307714.4427311,1023,6.141437530517578
1511307719.236334,1024,5.675487041473389
1511307723.7557483,1025,6.024441719055176
1511307809.628005,1053,6.05925989151001
1511307928.8196914,1087,6.083250522613525
1511308049.308757,1127,6.181042194366455
