Wall time,Step,Value
1510786680.9149547,0,4.452706813812256
1510786783.450785,57,2.1802163124084473
1510786904.115591,124,3.8426592350006104
1510787024.004483,191,3.3948004245758057
1510787144.0880816,258,2.4578566551208496
1510787264.2105777,325,2.4929800033569336
1510787383.439922,391,2.5366592407226562
1510787503.5233688,458,2.0057525634765625
1510787623.3621798,525,2.441195487976074
1510787743.5538752,592,2.5081992149353027
1510787864.0921988,659,1.9682908058166504
1510787983.4736397,724,1.8829288482666016
1510788103.1791337,791,1.7179689407348633
1510788224.453459,859,1.5628935098648071
1510788344.6329813,926,1.5978639125823975
1510788463.3450398,992,1.8284138441085815
1510788584.5098896,1059,2.156371593475342
1510788703.702732,1125,1.7536306381225586
1510788824.5265236,1192,2.2784509658813477
1510788944.5073297,1258,2.167898178100586
1510789065.1025307,1325,2.4938085079193115
1510789184.8065805,1390,2.0511693954467773
1510789304.1447773,1456,2.0283451080322266
1510789423.3188527,1522,1.6114614009857178
1510789544.079383,1588,0.4344746470451355
1510789664.135238,1655,1.842409372329712
1510789784.0709481,1720,1.9806170463562012
1510789904.6921763,1787,1.8371434211730957
1510790023.9558184,1853,1.737654447555542
1510790144.6782167,1919,2.4793896675109863
1510790264.7013128,1986,2.1022136211395264
