Wall time,Step,Value
1510782963.4421422,0,6.098690986633301
1510783064.81153,57,4.265292167663574
1510783183.9971786,124,2.5169272422790527
1510783303.863287,192,1.997279167175293
1510783424.8562768,261,1.4419286251068115
1510783544.8621252,329,1.872218370437622
1510783663.974396,396,2.8567252159118652
1510783783.5885296,464,2.720607042312622
1510783904.7779853,533,3.410808801651001
1510784024.8410048,600,2.968425989151001
1510784145.113002,669,2.3726770877838135
1510784265.3206308,737,1.3338689804077148
1510784384.1370044,804,2.492004871368408
1510784504.5926445,872,2.2900428771972656
1510784624.729825,940,2.346259832382202
1510784745.250615,1008,1.5668847560882568
1510784864.0089476,1074,1.8028156757354736
1510784983.9162405,1142,1.8342260122299194
1510785104.6800127,1211,0.5152491331100464
1510785224.708755,1279,2.7065269947052
1510785345.0587103,1347,1.6975154876708984
1510785463.9654257,1413,2.000816583633423
1510785584.788033,1482,2.1609737873077393
1510785703.8445954,1549,2.096665620803833
1510785823.904185,1617,1.7638376951217651
1510785945.1684322,1686,2.301095485687256
1510786063.8121166,1753,1.9308078289031982
1510786183.7617116,1821,1.9339253902435303
1510786303.2133627,1889,1.2797132730484009
