Wall time,Step,Value
1510753512.1577287,0,5.233713150024414
1510753614.9286911,44,3.157651662826538
1510753732.0156631,81,2.8989977836608887
1510753851.5991693,149,1.898808240890503
1510753971.179807,217,3.1751723289489746
1510754093.0923774,286,2.6392455101013184
1510754212.9857397,321,2.7376303672790527
1510754331.7986982,378,2.160132884979248
1510754452.1057153,446,1.4351872205734253
1510754571.9572027,514,2.2234644889831543
1510754692.183933,582,2.0234880447387695
1510754814.9802446,618,2.279496192932129
1510754931.0060759,674,0.25332409143447876
1510755051.4100838,742,2.3507080078125
1510755171.6004496,810,1.7378321886062622
1510755291.915383,878,2.1201248168945312
1510755413.3593533,913,2.1230263710021973
1510755532.0213141,970,2.0737946033477783
1510755651.888084,1038,1.7881309986114502
1510755772.1398253,1106,1.830501675605774
1510755893.0101995,1174,1.335665225982666
1510756014.3113205,1209,2.0666537284851074
1510756131.7189205,1266,1.5403516292572021
1510756251.8534453,1334,1.4642670154571533
1510756371.772312,1402,1.7350187301635742
1510756491.4357429,1470,1.5686759948730469
1510756615.2668135,1505,1.144228219985962
1510756732.1736722,1563,1.324622392654419
1510756852.272028,1631,0.34159788489341736
1510756971.0914748,1698,1.675750494003296
1510757092.2314863,1767,1.7523012161254883
1510757214.3584404,1802,1.9419896602630615
1510757332.064063,1860,0.2507391571998596
1510757451.8994691,1928,1.579983115196228
1510757571.9693499,1996,1.8002502918243408
1510757691.3930385,2064,2.026822566986084
1510757813.1072206,2098,1.2578554153442383
1510757931.6416678,2157,1.5166606903076172
1510758051.2967694,2225,1.7250573635101318
